Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
276,Male,6 - Junior Officer,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,16 to 19,19,France,Europe,Europe,4/1/2017,3,0.793103277500697
277,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,23,France,Europe,Europe,4/1/2017,3,0.623055198343484
278,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.318398343246958
279,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.798773798704663
280,Male,1 - Executive,Y,,No,No,0.50,No,N,Internal Services,,1 - Executive,Internal Services,Full Time,Full Time,,,,,0,,N,,30 to 39,38,France,Europe,Europe,4/1/2020,0,0.598388266457858
281,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,24,Italy,Europe,Europe,4/1/2017,3,0.124323691794335
282,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Internal Services,,2 - Director,Internal Services,Full Time,Full Time,Inconclusive,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,44,France,Europe,Europe,4/1/2011,9,0.0963702411919869
283,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.728155428085424
284,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,France,Europe,Europe,4/1/2017,3,0.919995431479609
285,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.744698500310109
286,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,1,5 - Senior Officer,Y,2,30 to 39,30,Germany,Europe,Europe,4/1/2018,2,0.489556873615158
287,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Internal Services,,6 - Junior Officer,Internal Services,70%,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,,N,,20 to 29,22,France,Europe,Europe,4/1/2020,0,0.353452330805485
288,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,25,Germany,Europe,Europe,4/1/2016,4,0.179752279854384
289,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,33,Italy,Europe,Europe,4/1/2016,4,0.981968401549765
290,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,France,Europe,Europe,4/1/2018,2,0.0812068576631592
291,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,38,Denmark,Europe,Europe,4/1/2014,6,0.566745638836317
292,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,4/1/2018,2,0.533721532362137
293,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,60%,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,33,France,Europe,Europe,4/1/2018,2,0.0115915038878684
294,Female,4 - Manager,Y,,No,No,0.50,No,N,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,0,,N,,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.39250736181099
295,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.456558138418317
296,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Netherlands,Europe,Europe,4/1/2018,2,0.43393008211238
297,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.887257912196738
298,Female,3 - Senior Manager,N,4,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.11608589919882
299,Male,6 - Junior Officer,N,3,Yes,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.409587925753295
300,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,4/1/2016,4,0.502881321611375
301,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.410524091507307
302,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.881012116131201
303,Male,4 - Manager,Y,,No,No,0.50,No,N,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,0,,N,,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.146236632295291
304,Female,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,3,50 to 59,50,Austria,Europe,Europe,4/1/2012,8,0.00309665303779707
305,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,28,Italy,Europe,Europe,4/1/2018,2,0.931002335558912
306,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.796005080190994
307,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.0233322089309036
308,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,0,,N,,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.792750240532062
309,Male,4 - Manager,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,4 - Manager,N,4,40 to 49,46,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.99052416434143
310,Female,4 - Manager,Y,,No,No,0.50,No,N,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,0,,N,,30 to 39,37,Germany,Europe,Europe,4/1/2020,0,0.413261965961451
311,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,4,20 to 29,22,Italy,Europe,Europe,4/1/2017,3,0.105188086177863
312,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,Germany,Europe,Europe,4/1/2012,8,0.686267065364905
313,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,4/1/2018,2,0.544879314591249
314,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,,N,,20 to 29,24,France,Europe,Europe,4/1/2020,0,0.271137335350007
315,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Operations,,6 - Junior Officer,Operations,70%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,,N,,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.374973232362317
316,Male,1 - Executive,N,,No,No,0.50,No,Y,Operations,,1 - Executive,Operations,Full Time,Full Time,,,,,1,2 - Director,Y,2,40 to 49,48,France,Europe,Europe,4/1/2013,7,0.617556617811648
317,Female,6 - Junior Officer,N,1,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.520635325585771
318,Female,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,,N,,40 to 49,43,Germany,Europe,Europe,4/1/2020,0,0.161510254163006
319,Male,6 - Junior Officer,N,1,Yes,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,27,Germany,Europe,Europe,4/1/2018,2,0.126062672824928
320,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,0,,N,,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.756594865473679
321,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,38,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.424671503991118
322,Female,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.042351864731127
323,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.190376512373921
324,Male,3 - Senior Manager,N,2,Yes,Yes,0.50,No,Y,Internal Services,,2 - Director,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,1,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.639130826919524
325,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,60%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,2,5 - Senior Officer,N,4,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.570948101951086
326,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,37,France,Europe,Europe,4/1/2015,5,0.510770365443006
327,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,1,5 - Senior Officer,Y,1,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.885577245930481
328,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,30,Germany,Europe,Europe,4/1/2014,6,0.490445629348761
329,Female,4 - Manager,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,2,4 - Manager,N,2,40 to 49,45,Italy,Europe,Europe,4/1/2013,7,0.153578269461928
330,Female,4 - Manager,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,90%,Part Time,,,,,3,4 - Manager,N,3,50 to 59,51,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.208554147092794
331,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.808703869397288
332,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,21,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.953838421516404
333,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.0634205645759288
334,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,16 to 19,19,Germany,Europe,Europe,4/1/2018,2,0.897089299214075
335,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.646728195459688
336,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,21,France,Europe,Europe,4/1/2017,3,0.0747368744558103
337,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Strategy,,2 - Director,Strategy,Full Time,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,4,2 - Director,N,,40 to 49,43,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.103095341561494
338,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2018,2,0.655577760107589
339,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.0109186837819047
340,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,20 to 29,25,France,Europe,Europe,4/1/2014,6,0.149019424303556
341,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.511983273020253
342,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Finance,,4 - Manager,Finance,90%,Part Time,Inconclusive,4 - Manager & Finance,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.958094362901095
343,Female,1 - Executive,N,,No,No,0.50,No,Y,HR,,1 - Executive,HR,Full Time,Full Time,,,,,2,1 - Executive,N,2,40 to 49,47,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.657479404313384
344,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,5 - Senior Officer,N,,30 to 39,35,Germany,Europe,Europe,4/1/2019,1,0.977152110274139
345,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.727534437781891
346,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,Malaysia,Asia Pacific,Elsewhere,4/1/2013,7,0.523880152324105
347,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,40 to 49,48,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.790669398169727
348,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,25,United Kingdom,Europe,Europe,4/1/2016,4,0.92315644670089
349,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,22,Germany,Europe,Europe,4/1/2017,3,0.587260719929009
350,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,2,6 - Junior Officer,N,2,20 to 29,27,Germany,Europe,Europe,4/1/2018,2,0.512798811837329
351,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,4,4 - Manager,N,2,30 to 39,36,Germany,Europe,Europe,4/1/2016,4,0.15871819452981
352,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.24177867543785
353,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,6,5 - Senior Officer,N,2,30 to 39,31,Germany,Europe,Europe,4/1/2016,4,0.0184291419854125
354,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,,N,,20 to 29,23,Greece,Europe,Europe,4/1/2020,0,0.188730687016289
355,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,,N,,20 to 29,23,Italy,Europe,Europe,4/1/2020,0,0.358468112988383
356,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,32,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.0772558653498577
357,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,27,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.303252500511905
358,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,80%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,33,France,Europe,Europe,4/1/2011,9,0.340242324850251
359,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,28,United States,Americas,Elsewhere,4/1/2011,9,0.672901707906903
360,Male,5 - Senior Officer,Y,,No,No,0.50,No,N,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,0,,N,,20 to 29,24,Italy,Europe,Europe,4/1/2020,0,0.198005528917873
361,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,30 to 39,38,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.0780503634295132
362,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,26,United States,Americas,Elsewhere,4/1/2015,5,0.727801057479422
363,Male,1 - Executive,N,,No,No,0.50,No,Y,Strategy,,1 - Executive,Strategy,Full Time,Full Time,,,,,4,1 - Executive,N,3,40 to 49,45,France,Europe,Europe,4/1/2013,7,0.790959898584524
364,Male,5 - Senior Officer,N,4,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,29,France,Europe,Europe,4/1/2018,2,0.702964090429235
365,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.0381736854307841
366,Female,6 - Junior Officer,N,1,Yes,Yes,0.50,No,Y,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,6 - Junior Officer & Finance,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.73200619422703
367,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,0,,N,,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.0291487886715884
